id,Datum,Warengruppe,Umsatz,product_groups
1307011,2013-07-01,1,148.828353112183,BROT
1307021,2013-07-02,1,159.79375714468,BROT
1307031,2013-07-03,1,111.885593514353,BROT
1307041,2013-07-04,1,168.864940979931,BROT
1307051,2013-07-05,1,171.280754117955,BROT
1307061,2013-07-06,1,174.552359998476,BROT
1307071,2013-07-07,1,92.6377553788373,BROT
1307081,2013-07-08,1,135.500244042392,BROT
1307091,2013-07-09,1,136.048382778344,BROT
1307101,2013-07-10,1,135.132314289581,BROT
1307111,2013-07-11,1,138.549392636714,BROT
1307121,2013-07-12,1,101.447511461298,BROT
1307131,2013-07-13,1,141.233309883732,BROT
1307141,2013-07-14,1,112.524365708762,BROT
1307151,2013-07-15,1,161.264677322182,BROT
1307161,2013-07-16,1,116.821358174215,BROT
1307171,2013-07-17,1,150.572919592838,BROT
1307181,2013-07-18,1,101.90072129658,BROT
1307191,2013-07-19,1,161.63511518654,BROT
1307201,2013-07-20,1,134.328076682024,BROT
1307211,2013-07-21,1,66.2887578161955,BROT
1307221,2013-07-22,1,131.223948997842,BROT
1307231,2013-07-23,1,110.315246796665,BROT
1307241,2013-07-24,1,141.891908195545,BROT
1307251,2013-07-25,1,167.701216640907,BROT
1307261,2013-07-26,1,147.272084366206,BROT
1307271,2013-07-27,1,161.403357795112,BROT
1307281,2013-07-28,1,86.0791432446654,BROT
1307291,2013-07-29,1,183.564164400591,BROT
1307301,2013-07-30,1,132.111640117897,BROT
1307311,2013-07-31,1,144.745431773143,BROT
1308011,2013-08-01,1,157.854023011106,BROT
1308021,2013-08-02,1,117.359342094889,BROT
1308031,2013-08-03,1,186.027178770079,BROT
1308041,2013-08-04,1,104.708216687715,BROT
1308051,2013-08-05,1,146.775309890073,BROT
1308061,2013-08-06,1,131.956277381283,BROT
1308071,2013-08-07,1,160.593417296116,BROT
1308081,2013-08-08,1,153.099424561652,BROT
1308091,2013-08-09,1,125.620344387906,BROT
1308101,2013-08-10,1,185.177162656408,BROT
1308111,2013-08-11,1,73.2088330039992,BROT
1308121,2013-08-12,1,154.504729536697,BROT
1308131,2013-08-13,1,134.064451548102,BROT
1308141,2013-08-14,1,156.972510536869,BROT
1308151,2013-08-15,1,164.763795399756,BROT
1308161,2013-08-16,1,147.79799759804,BROT
1308171,2013-08-17,1,221.630418006017,BROT
1308181,2013-08-18,1,92.489778506026,BROT
1308191,2013-08-19,1,145.87913275728,BROT
1308201,2013-08-20,1,111.842396126739,BROT
1308211,2013-08-21,1,125.336522713024,BROT
1308221,2013-08-22,1,132.916428220302,BROT
1308231,2013-08-23,1,162.958958703106,BROT
1308241,2013-08-24,1,201.543109556297,BROT
1308251,2013-08-25,1,83.0226725739551,BROT
